q,p,lo,hi,coverage,n_local,method,cond_number
95,0,0.523671138883382,0.545390551866311,0.02173117713772285,123,interval,1222967.5981565337
95,1,0.00662176476314244,0.0252200048926687,0.018601050254285448,76,interval,1285223.3695872298
96,0,0.710013538871433,0.793017408250482,0.08304882779337763,403,interval,1175625.820247004
96,1,0.107657802786407,0.286601063384063,0.17897029825732663,894,interval,2602469.6414864818
97,0,0.577282826584132,0.87874841909046,0.3016288790508607,1000,interval_capped,1725842.452653112
97,1,0.148228251545154,0.60988195524233,0.46172345785100427,1000,interval_capped,1863433.115271092
98,0,0.616275493419898,0.695750794449117,0.0795183482213476,410,interval,1275999.162470616
98,1,0.0333605057561404,0.543996213278376,0.510712862674263,1000,interval_capped,2476373.235124269
99,0,0.562407039734472,0.831781114179121,0.26951997886258633,1000,interval_capped,1904093.5528069278
99,1,0.323822711253604,0.729173632268379,0.40541216802800684,1000,interval_capped,3016234.221453146
100,0,0.0550313622205831,0.330004918068736,0.2751224931825898,1000,interval_capped,2307339.2039060667
